Neujahr,2015-01-01
Heilige drei Könige,2015-01-06
Ostersonntag,2015-04-05
Ostermontag,2015-04-06
Staatsfeiertag,2015-05-01
Christi Himmelfahrt,2015-05-14
Pfingstsonntag,2015-05-24
Pfingstmontag,2015-05-25
Fronleichnam,2015-06-04
Mariä Himmelfahrt,2015-08-15
Nationalfeiertag,2015-10-26
Allerheiligen,2015-11-01
Mariä Empfängnis,2015-12-08
Heiliger Abend,2015-12-24
Christtag,2015-12-25
Stefanitag,2015-12-26
Silvester,2015-12-31
Neujahr,2016-01-01
Heilige drei Könige,2016-01-06
Ostersonntag,2016-03-27
Ostermontag,2016-03-28
Staatsfeiertag,2016-05-01
Christi Himmelfahrt,2016-05-05
Pfingstsonntag,2016-05-15
Pfingstmontag,2016-05-16
Fronleichnam,2016-05-26
Mariä Himmelfahrt,2016-08-15
Nationalfeiertag,2016-10-26
Allerheiligen,2016-11-01
Mariä Empfängnis,2016-12-08
Heiliger Abend,2016-12-24
Christtag,2016-12-25
Stefanitag,2016-12-26
Silvester,2016-12-31
Neujahr,2017-01-01
Heilige drei Könige,2017-01-06
Ostersonntag,2017-04-16
Ostermontag,2017-04-17
Staatsfeiertag,2017-05-01
Christi Himmelfahrt,2017-05-25
Pfingstsonntag,2017-06-04
Pfingstmontag,2017-06-05
Fronleichnam,2017-06-15
Mariä Himmelfahrt,2017-08-15
Nationalfeiertag,2017-10-26
Allerheiligen,2017-11-01
Mariä Empfängnis,2017-12-08
Heiliger Abend,2017-12-24
Christtag,2017-12-25
Stefanitag,2017-12-26
Silvester,2017-12-31
Neujahr,2018-01-01
Heilige drei Könige,2018-01-06
Ostersonntag,2018-04-01
Ostermontag,2018-04-02
Staatsfeiertag,2018-05-01
Christi Himmelfahrt,2018-05-10
Pfingstsonntag,2018-05-20
Pfingstmontag,2018-05-21
Fronleichnam,2018-05-31
Mariä Himmelfahrt,2018-08-15
Nationalfeiertag,2018-10-26
Allerheiligen,2018-11-01
Mariä Empfängnis,2018-12-08
Heiliger Abend,2018-12-24
Christtag,2018-12-25
Stefanitag,2018-12-26
Silvester,2018-12-31